org.apache.mahout.knn.search.ProjectionSearch org.apache.mahout.common.distance.EuclideanDistanceMeasure
numDataPointsSeen estimatedNumClusters distanceCutoff numCentroids
1 320 0.008368 2
2 320 0.008368 3
3 320 0.008368 4
4 320 0.008368 5
5 320 0.008368 6
6 320 0.008368 7
7 320 0.008368 8
8 320 0.008368 9
9 320 0.008368 10
10 320 0.008368 11
11 320 0.008368 12
12 320 0.008368 13
13 320 0.008368 14
14 320 0.008368 15
15 320 0.008368 16
16 320 0.008368 17
17 320 0.008368 18
18 320 0.008368 19
19 320 0.008368 20
20 320 0.008368 21
21 320 0.008368 22
22 320 0.008368 23
23 320 0.008368 24
24 320 0.008368 25
25 320 0.008368 26
26 320 0.008368 27
27 320 0.008368 28
28 320 0.008368 29
29 320 0.008368 30
30 320 0.008368 31
31 320 0.008368 32
32 320 0.008368 33
33 320 0.008368 34
34 320 0.008368 35
35 320 0.008368 36
36 320 0.008368 37
37 320 0.008368 38
38 320 0.008368 39
39 320 0.008368 40
40 320 0.008368 41
41 320 0.008368 42
42 320 0.008368 43
43 320 0.008368 44
44 320 0.008368 45
45 320 0.008368 46
46 320 0.008368 47
47 320 0.008368 48
48 320 0.008368 49
49 320 0.008368 50
50 320 0.008368 51
51 320 0.008368 52
52 320 0.008368 53
53 320 0.008368 54
54 320 0.008368 55
55 320 0.008368 56
56 320 0.008368 57
57 320 0.008368 58
58 320 0.008368 59
59 320 0.008368 60
60 320 0.008368 61
61 320 0.008368 62
62 320 0.008368 63
63 320 0.008368 64
64 320 0.008368 65
65 320 0.008368 66
66 320 0.008368 67
67 320 0.008368 68
68 320 0.008368 69
69 320 0.008368 70
70 320 0.008368 71
71 320 0.008368 72
72 320 0.008368 73
73 320 0.008368 74
74 320 0.008368 75
75 320 0.008368 76
76 320 0.008368 77
77 320 0.008368 78
78 320 0.008368 79
79 320 0.008368 80
80 320 0.008368 81
81 320 0.008368 82
82 320 0.008368 83
83 320 0.008368 84
84 320 0.008368 85
85 320 0.008368 86
86 320 0.008368 87
87 320 0.008368 88
88 320 0.008368 89
89 320 0.008368 90
90 320 0.008368 91
91 320 0.008368 92
92 320 0.008368 93
93 320 0.008368 94
94 320 0.008368 95
95 320 0.008368 96
96 320 0.008368 97
97 320 0.008368 98
98 320 0.008368 99
99 320 0.008368 100
100 320 0.008368 101
101 320 0.008368 102
102 320 0.008368 103
103 320 0.008368 104
104 320 0.008368 105
105 320 0.008368 106
106 320 0.008368 107
107 320 0.008368 108
108 320 0.008368 109
109 320 0.008368 110
110 320 0.008368 111
111 320 0.008368 112
112 320 0.008368 113
113 320 0.008368 114
114 320 0.008368 115
115 320 0.008368 116
116 320 0.008368 117
117 320 0.008368 118
118 320 0.008368 119
119 320 0.008368 120
120 320 0.008368 121
121 320 0.008368 122
122 320 0.008368 123
123 320 0.008368 124
124 320 0.008368 125
125 320 0.008368 126
126 320 0.008368 127
127 320 0.008368 128
128 320 0.008368 129
129 320 0.008368 130
130 320 0.008368 131
131 320 0.008368 132
132 320 0.008368 133
133 320 0.008368 134
134 320 0.008368 135
135 320 0.008368 136
136 320 0.008368 137
137 320 0.008368 138
138 320 0.008368 139
139 320 0.008368 140
140 320 0.008368 141
141 320 0.008368 142
142 320 0.008368 143
143 320 0.008368 144
144 320 0.008368 145
145 320 0.008368 146
146 320 0.008368 147
147 320 0.008368 148
148 320 0.008368 149
149 320 0.008368 150
150 320 0.008368 151
151 320 0.008368 152
152 320 0.008368 153
153 320 0.008368 154
154 320 0.008368 155
155 320 0.008368 156
156 320 0.008368 157
157 320 0.008368 158
158 320 0.008368 159
159 320 0.008368 160
160 320 0.008368 161
161 320 0.008368 162
162 320 0.008368 163
163 320 0.008368 164
164 320 0.008368 165
165 320 0.008368 166
166 320 0.008368 167
167 320 0.008368 168
168 320 0.008368 169
169 320 0.008368 170
170 320 0.008368 171
171 320 0.008368 172
172 320 0.008368 173
173 320 0.008368 174
174 320 0.008368 175
175 320 0.008368 176
176 320 0.008368 177
177 320 0.008368 178
178 320 0.008368 179
179 320 0.008368 180
180 320 0.008368 181
181 320 0.008368 182
182 320 0.008368 183
183 320 0.008368 184
184 320 0.008368 185
185 320 0.008368 186
186 320 0.008368 187
187 320 0.008368 188
188 320 0.008368 189
189 320 0.008368 190
190 320 0.008368 191
191 320 0.008368 192
192 320 0.008368 193
193 320 0.008368 194
194 320 0.008368 195
195 320 0.008368 196
196 320 0.008368 197
197 320 0.008368 198
198 320 0.008368 199
199 320 0.008368 200
200 320 0.008368 201
201 320 0.008368 202
202 320 0.008368 203
203 320 0.008368 204
204 320 0.008368 205
205 320 0.008368 206
206 320 0.008368 207
207 320 0.008368 208
208 320 0.008368 209
209 320 0.008368 210
210 320 0.008368 211
211 320 0.008368 212
212 320 0.008368 213
213 320 0.008368 214
